Author,Comment Posted,Content,Like
Applasamy Subbha Rao,3 days ago (edited),Great Man. Great Soul.... He is a Great Person. Will Be Philippines Next President. ( Just to cheer or to be Fair... All the Disputes to be Settled in Ring. Not By Trash Talking ),
Lance Fortaleza,5 days ago,One thing is for sure... there'll be no more atleast two days of crime less days in the Philippines.....coz during pacman days in boxing... Everytime he fights.....The national police records almost zero crime all over the country..and he fights atleast twice a year... pollution also is reduced coz There's almost no vehicles on the streets during his fights...,
Runald lang,3 days ago,"everyone knows pacman is the goat not mayweather, everyone who think mayweather is a goat is a clown",
Gabriel Torre,4 days ago,"they forgot the biggest robbery, hornnnnnnnnnnnnnnnnnnn",
Alphriel,2 days ago,"As a Filipino I have to say I respect him as a boxer and as a philanthropist, but really wish he stayed out of politics. Especially the presidential seat. Please no.",1
Kennedy Sarmiento,1 week ago,He will comeback. He won’t be the president 🇵🇭 🤯 🥊 🐐,
Greenie Page,3 hours ago,Manny Pacquiao running as a president of the Philippines. However I only see him as a boxer not politician. I will not vote for him.,
Mr. Cool ZONE tv,6 days ago,The only fighter that argue for being the GOAT in boxing is for Mohammed Ali....no any body,
Nhut Aquino - 12Midnight Story,1 week ago,top 3 !,
misty sky,5 days ago,probably lose to election as well,
Renerio Dalauta,4 days ago,F that maybe you should watch the fight against between pacquiao vs mayweather you will see that mayweather always runnin.,
Prabha Fiftycent,1 week ago,Goat 🐐,
john alvin Deplomo,3 days ago,Pacquiao out.. marcos would take the lead on 2022🇵🇭,
Von Love,6 days ago,Manny was throwing karate punches and why didn't he take the test,
Dexter Rojas,4 days ago,"The only one and first 8 division champion in boxing history, not even Floyd or Ali they had their chance but they can't do it lol 😂",
Willy Fuedan,4 days ago,"He great boxer, n the best ever fighter..  But not good  politician in the Philippines..",
GFFL,4 days ago,Welp boxing is officially dead.,
Arky,3 days ago,"He’s the last of his era. That’s it mane. Boxing is not going to be the same anymore. Floyd, Marquez, Cotto EVERYONE IS GONE NOW",
ashbody000,2 days ago,"no disrespect at all, but he just retired?",
ML CB,6 days ago,No more pacquiao no more vegas!,
Spitfire Last,18 hours ago,"""Skip!!!""",
yaj lumabstinence,5 days ago (edited),This segment was supposed to about manny but they ended up talking about floyd........ Idiots,
Antonio Virtudazo Jr,2 days ago,top 2 behind on ali,
Efren Quinones,1 week ago,Don't forget Floyd was heavier and waited for Manny to get older and a little slower,
MOSBAK,1 week ago,Manny Pacquiao is goat for me you emagine small guy plus 8 division I choose Mayweather vs Pacquiao career I choose Manny Pacquiao because ever fight Manny Pacquiao it's very exciting,
Wild-Olive Prick,1 week ago (edited),Money vs Pacman 5-year delay was evil-greed's portion...,
any means,5 days ago,Because you press the action don't mean you win the fight dam skip ia such a dam casual 🤣 making excuses for manny losses biased af 🤦🏾‍♂️,
ph hall of fame boxing,1 week ago,He is a LEGEND FOREVER,1
Marton Tapas,3 days ago (edited),Manny is the greatest besides Ali and Tyson. Floyd is not a great fighter.,
JokoHolic,3 days ago,One of top liars also of all-time. The dude even faked his education and got a law degree for 3 months. What a clown.,
fix yooo yoo,5 days ago,Cramp legs thats aging,
Kent Domael,6 days ago,G.O.A.T,
vong xiong,3 hours ago,"Flawless record doesn't mean you are the GOAT in Boxing!  If, Mayweather did what Manny did, 8 division Champ!  Mayweather would be fighting in heavy weight!  Mayweather chicken to move up weight class.",
Blank Draft,1 day ago,And the Duck era begins . . . Boxing will now degrade into a kindergarten fight.,
Yuuki Pitogo,5 days ago (edited),Don't repeat the fact again and again Shannon. We already knew long long time ago that Pacman can't touch Mayweather year 2009. How can you touch the man who don't seriously want to take that fight? If he's really the man you ought him to be Mayweather-Pacman should've been made that year. He's the only man who has a lot of excuses. Out of all the boxers who fought Manny in his career he's the only drama queen and that's also a fact. Majority of the boxing fans will miss Pacman fight inside the ring but only few will miss the attention seeker Mayweather who still trying hard to be relevant in boxing by fighting amateurs.,
#BBM2022,3 days ago,BONGBONG MARCOS FOR PRESIDENT 2022.,
Sioboy TV,6 days ago,"Everybody now wants to be like Floyd. Great, let's just host a track and field race session for everybody then.😂",2
FilthyCasual,1 week ago,Too bad pbc robbed him twice,
Richard Lagrimas,1 week ago,Money just run the hole time...he didn't fight at all.,
Ruel Basiliote,3 days ago,"This numbers will say who.. 50-27-0
8 division world champ.
Manny let losers fight him back many times.. Bareira2,morales3,marquez4
Floyd evades losers",
Daniel Lumsden,3 days ago,Why you talking about Floyd? Let's just forget he ever happened to boxing.,
JP Quijano,3 days ago,stop it shannon its for pacquiaos retirement time not for your baby floyd,
no name no name,5 days ago,"Floyd duck.manny packyaw many years 
If that fight hppen in 2008 9 10 im sure gayweather run to his father to get help so that 2 of them fight manny",
Franz Rivera,1 week ago,My man why don't u watch again thw fight of Manny Pacquiao's and Floyd Mayweather and put it into slow motion so u will see who's more accurate throwing punches during that fight. U'r COMPUBOX that use in determing punches throw by boxers is f** insane. I don't believe in compubox.,
dantecry12,1 week ago,"That's the drama queen manny p. embarrassment of the philippines, thinking he could work as a president which is complete utter ridiculousness",
Jeff,2 days ago,Good because Ugas would've knocked him into a Coma....he has nothing to be ashamed of...everyone can't be undefeated. Pacquiao is a legend and a great boxer. Good person too.,
Rock Scorpion,23 hours ago,"Welterweight/Boxing without Manny, hmmm....let just wait for the NEXT ""exiting"" boxer to come-up,  a few , yeah but next to Manny Pacquiao?!...well.....",
Edgar Sambo,3 days ago,"I think judges couldn't see pacman's punches. And how old judges are?,, Men its gotta be the old eyes of the judges that is why he lose some fight.. men its gotta be it.. that the reason, better hire fresh young eye judges..",
dab savage,4 days ago,No to the Presidency please. 🇵🇭👊🏻👊🏻👊🏻,
ONE TIME BOOM!! seek and destroy,4 days ago,Shannon Should Talk About Retirement of Pacquiao ....But Talks about floyd....Shannon SUCKS!,
Ener Parzie,5 days ago,Don't worry. He will be back in boxing. 🤣🤣🤣🤣🤣🤣🤣🤣,
Raymond Maglonzo,6 days ago,Boxing Goat!,
Marlon Magnaye,1 week ago,Mayweather The Greatest Runner and Defensive of all time 🤪🤪🤪,1
Flimosn L,4 days ago,Atg? Well... it's Pacqioau hands down. Sorry floyd .,
Mhelven Masayon,3 days ago,They did it ugas fought instead of spence for a purpose... man that sucks,
Bigg Nasty,3 days ago,Skip n shay shay is the best duo on sports media,
po ko,3 days ago,They both didn’t have time to prep… smh.. Pac man was jus old,
JR Besa,5 days ago,People who dont appreciate Pac are Floyd loyal fans and Pac hater. The most Defensive fighter and The offensive Huricane from the East. Both are Legends,
RP17 Rionda,5 days ago (edited),He is one of the best fighter’s of all time..  but winning the Presidency is not for everyone.. we love as Manny Pacquiao the Fighter and person that he is..  but it doesn’t mean he can run a country ✌️🇵🇭,
Jaime Jose,3 days ago,"Mayweather was just too big for Manny. They should just not fight period. If Mayweather was smaller or Pacquiao was bigger, Pacquiao would have won it.",
P4P KING,6 days ago,Pacman is on the mt rushmore of boxing,
JOs TV,3 days ago,Top 1 boxing in the world Pacquiao,
Castor Troy,1 week ago (edited),Pacquiao and Mayweather fight was close. Try to watch it again without the audio on. You would notice that American commentators are just bias. Mayweather didn't hurt Pacquiao and didn't have plans to get hurt. He kept backing up and and when Pac is pushing towards him to hurt him he would hug. That's how Floyd as a boxer. He isn't an aggressor type unlike Manny he would attack you in different angles as hard as he could 'cause he's a Warrior. He's not afraid to get hurt. Pacquiao - Warrior. Mayweather - Defensive Specialist. If you ask who am i going to choose. I would go for Manny. Zero doesn't count but what you have shown and the records that you did something that in this generation could not do anymore. He's one in a Billion.,
Orient Pearl,1 week ago,"Mayweather is nothing compared to Pacquiao, 8th division compared to Mayweather, Pacquiaos journey and fights is far greater than Mayweather. Pacquiao had made and fought more than his best, while Mayweather only fights in his comfort zone, pacquuao is a total fighter, Mayweather is not.",
Mangyan po.,1 week ago,"Muhammad Ali
Mike Iron Tyson
Manny PACMAN Pacquioa",
Loma Zuala,1 week ago,In the Mount Rushmore of boxing there is a little Philippino guy named Manny Pacquiao,
Ru2yaz,1 week ago,"Manny vs Floyd
Manny entered that fight torn rotator cuff, and Nevada commission wouldn't let him take ibuprofen. On the other side, Floyd used illegal IVs the night before the fight and who knows what else he did.",
cris cavs,5 days ago,Pambansang kamao🥊🇵🇭,1
R J,4 days ago,RIP boxing.,
Sohaim Hadjicasan,1 week ago,Boxing without manny pacman is boring :(,
remohdude,4 days ago,"In Philippines, Pac is a G.O.A.T in boxing. But in politics, he's the greatest clown and has the nerves to run for the highest position in the land.",
Cruzlife Cruz,4 days ago,Stop making excuses for Canelo,
Oak Land,4 days ago,Two people who don't understand boxing talking about boxing lmao.,
Luis Gatmaitan,3 days ago,This guy is a clown never take his words seriously.,
Mykel Contra,5 days ago,😢😢😢the rest history.,
Chris 87,5 days ago,Anyone else think Shannon sharpe shouldn’t be talking about boxing? He just doesn’t know the sport well enough,
Mr. Cool ZONE tv,6 days ago,8 division world champion 🏆🏆🏆🏆 no one can argue that....Ang he is not avoiding opponents..Lol,
Evil Disaster,1 hour ago,Which is greater? For kids: 5 or 8? Floyd is 5 and Pac is 8! Smart fans of floyd would say 5 is greater than 8..😆😆😆😆😂😂😂😂😂 smart guys!,
Jerry Uy,1 week ago,"Pacquiao had beaten Floyd Mayweather by Complying to Judges Official Ceiteria, which is called ""Four Categories"" which is the only basis of winning in a Pro Boxing Match, nothing more nothing less.",
savorygulp,12 hours ago,He is good at  boxing but in politics a HUUUUGE NOOO,
KATSIE HAPPY MEAL,6 days ago,We love you and gonna miss your boxing manny..... Boxing day is holiday in Philippines.,
Mark Mante,5 days ago,The Best fighter from the Pacific all time. Definitely top 3 best fighter all time if not the best. Thank you Manny!,
Paolo De Guzman,4 days ago,"All time great in boxing but all time worst in politics. He will fight again, see.",
Jen Verar,3 days ago,"Manny wearing ""no fear"" shorts is scary asf. Prime Manny is a beast. Post prime Manny is a wise matured combination artist who is very composed.",
lee h,4 days ago,Was this about manny or floyed,
Toto Francisco,1 week ago,Who is Durarte? 🤔,
My Brothers Keeper,4 days ago,Skip and Shannon please please stick to what you know cause it’s obvious y’all don’t know boxing.,
Ian Mark Dela Cruz,1 week ago,The difference of Pacquiao and Mayweather. When Mayweather retires he didn't got this attention. But manny did.,
Mic Tan,1 day ago,Gayweather is a runner,
Erick Santos,4 days ago,"The only issue I had with Pacquiao is his commitment to Bob Arum. Had he left Top Rank way back before the Mayweather fight was made, that fight probably would have happened sooner. Probably, but not surely. The latter of Pacquiao's career was horrible. He wasn't in the biggest fights possible. Mayweather always stole the spotlight, and though I liked Mayweather more, it's not about that. Bob Arum just liked selling bad fights and keeping it in house, and because it was Pacquiao, the fights would sell. Aside from Bob Arum, Pacquiao is great. Legendary career and anyone who says otherwise is a hater.",
Zaixen ann f Palacio,1 week ago,",😭😭😭",
Arvic Raborar,1 week ago,"If he loses his bid for presidency, I am almost sure he will fight again as a boxer. Do you wanna bet?",
uncle jesse Mercado,2 days ago,What ever you guys said Paquiao is the Goat...Mayweather is the horse...keep running around the ring for 12 long round...its Boring to watch...thats not the paying Fans wanted to see..,
Noah Bello,2 days ago,I hate hearing these two talk about boxing,
John Paul Cadenas,6 days ago,President manny is the greatest of all time in boxing history,
Luigi C,2 days ago,"Mayweather overrated, cant win just purely on defense. Pacman over money",
Monkey Luffy,3 days ago,"really top 3 ? I knew it because he is not american, LOL HAHAH",
Bujaxx,2 days ago,"Its already to late, he will hsve parkinson in 4-5 years.",
Ken B,1 week ago,This guy is so damn loud for no reason. Mayweather has a good record but he is no where near Pac-Mans legacy.,
AM-PH Bowers,4 days ago,I bet most all the comments here are Filipinos!?😁😍😘🇵🇭,
Dann Vincent Rabino,4 days ago,MANNY PACQUIAO IS GREAT BOXER BUT RUNNING FOR A PRESIDENT AHAHAHHAHAAH NOPE NOT GOOD,
INRAALLTHEWAY,3 days ago,Durarte lmao,
Ronnel Tequillo,5 days ago,Pacman is truly one othe goats. even he is not my choice as president i want to say goodluck to him thanks to you as my boxing idol since childhood thanks for the memories.,
Ricco Morroy,1 week ago,Emmanuel Dapidran Pacquiao SIGNING OFF.,
Artyom Parner,1 week ago,Only americans believed Floyd's ability but not to compare Manny... world saw who's the best than Floyd... and it's Manny,
Steve Blaque,4 days ago,respect but the white cat has it wrong with marquez who doesn't need to be denigrated in the way he was.,
Johanan David Swaroop Nicholas Raj,4 days ago,Skeeeyup,
Lester Jake Dizon,5 days ago,"Let's talk about overall career and legacy. LIKE FORREAL??

Okay.. okay... Mention all you guys want.. but hey! Overall? Guys.. common.. If Manny was a black guy or white guy living in America? TRUST ME. The LEGENDARY PACMAN will be the easiest #1 top list of ALL-TIME. ",
Mayong tv,2 days ago,Manny is the best and the best,
Michael Baldoza,1 week ago,8division world title are better tha 30 0 record..,
Romil Narciso,6 days ago,Pac is the real Goat! And Floyd is a bum who ruins the old school boxing! Period,
Haja Moinudeen,1 week ago (edited),What's difference is the man who talk for money get money ...man who talk for manny get respect,
John Wonka,1 week ago,He is the closest thing to Muhammad Ali,
bengolfs1,5 days ago,Skip and Shannon know zero about boxing and are just reading a script. They should stick to what they know: football and that's about it.,
zzzap,1 week ago,"Pacquiao should have ended on a big win, but his trainers made him run everyday without rest enough. That's why his legs cramped and couldn't move during the fight. The coaches, except Freddie Roach, & trainers should accept the blame.",
The 10th Man,5 days ago,"funny how skip and shannon still ended up arguing who is better between pac and fm even on pac's retirement.. that jmm fight is disgusting, jmm and angel cooked sumthin i tell u, u can smell it coming out of the tv..",
November Lima,6 days ago,"He retired because he is running for President here in the Philippines 
Once a Hero now the most hated Person in the Philippines 
Filipinos say that he is not qualified for President 
He just filed COC this morning",
JBDR Official,4 days ago,For my opinion Pacquiao is my number 1,
Ryder,4 days ago,Pernell Whitaker was better than Pacman and Mayweather willie Pep and Pernell are the greatest defensive fighters ever. Congratz manny on one of the most incredible careers of all time,
James Moreno,4 hours ago,Pac will b president for sure very likable n very humble,
CRESTOR Vlog,1 day ago,we are vote Manny Pacquio for President..he is good leadership..and God fearing..God bless,
Lanzkie Castillo,4 days ago (edited),"his achievements will never be happen in history of boxing again, 
he is the catchweight king, pound for pound king, divisions king, southpaw king, only boxer to be champion in 4 decades, 1990's, 2000's, 2010's and 2020's, never ducked anybody, most humble in boxing, he's truly amazing, and i believe if he fought the champs in 108, 115, 118, he can be 11 division champion .. his style, the way he fight, his stamina, chin, body, legs, can beat champions in every division (he can move up)..",
noel joe noble,3 days ago,🇵🇭🇵🇭🇵🇭,
cyril channel,4 days ago,I love skip this time but in lebron.ihate skip By bashing Lbj..,
Thon Gardiola,1 week ago,🇵🇭🇵🇭🇵🇭,
Ron ZG,3 days ago,i wish manny would just run for vice president.. or senator again.. being president is too early..,
Patrick Ryan Reyes,4 days ago,🇵🇭🇵🇭🇵🇭,
Dennis Yap,5 days ago,Manny is a legit warrior not like floyd.,
Bradd Young,6 days ago,God I hate seeing guys who don’t know about boxing talk about boxing.,
Eris,4 days ago,Floyd did not even defeat Pacquiao convincingly. It was all running and hugging.,
Akosi BerpBerp,5 days ago,G.O.A.T NO.1,
Adrack Humble,6 days ago,Shannon is racist. It’s okay though we don’t blame you,
XPLORER V,5 days ago,[FACTS] Manny Pacquiao has the Greatest Legacy in Boxing History the world has ever had in a hundred years or more. He is simply the Michael Jordan of Boxing sitting on the top alone and has raised the boxing world standard into an epic and even more legendary level. PLEASE TAKE TIME TO READ These UNDENIABLE TRUTHS:,
Gabriele Squaratti,4 days ago,They are sooooooo biased. Skip Is a disgrace.,
Tiger Gray,4 days ago,Pacquiao will be the President of the Philippines in 2022 that's a garuantee,
Rapsilog,3 days ago,Boxers today - if u want to be successful on a safe side with little talent? Be like Floyd. Use your brain and defense. Boring but can get you “money” in the sport. That’s one of the pathetic trend in boxing today. It will take another “Manny” in the future to turn that around. Good luck Boxing.,
Anthony,1 day ago,Maro2 mana inyung ployd . Di mag serbi ng Pacquiao og gi na sige og dagan,
V DL,5 days ago,netflix movie about pacquiao,
Red Vanderbilt,1 week ago,Mayweather beat Pacquiao clean. Again boxing isn't always offense. Don't always expect a knockout. Mayweather also was past his prime when he fought Pacquiao. Stop reasoning out. A win is a win.,1
Maxel Dutz,6 days ago (edited),"Pacquiao is very small but terrible no fear all of his opponents hieght 5'8 ,5'9,5'10,5'11 all of his opponents got knockdown.

And now he run for president of the Philippines i will not vote him, he will knockout in politics not all pilipino gonna votes him.",
charles flores,2 days ago,Hes a living legend but he will not gonna win as a president,
ponyong 20,1 week ago,He will be back,
mikee guti,6 days ago,Manny pls don’t run for President.  We love you and we don’t want to see you be ruined  financially and  mentally.  Someone will just used you.,
Jovylon Canencia,4 days ago,Good bye boxing.,
Steppen Wolf,6 days ago,Now Pac-Man gonna be president,
Ares Villanueva,5 days ago,Wala na. Patay na ang boxing pag wala c pacman.,
Ka Boom,1 week ago (edited),This supposed to be a tribute to Manny Pacquiao but the black guy spoil it by not  accepting and always bringing his guy Floyd Mayweather in the top.,
Kris Gerzon,16 hours ago,"Skip is right here 

He knows his stand unlike in basketball about LBJ",
roakz,5 days ago,Top#1,
Sub Zero,4 days ago,Its obvious.Manny is greater dighter than Mayweather..Mayweather is for money and running fighter boring fightere,
conxz mc,5 days ago,😭🙇🏽,
myrwell dellosa,12 hours ago,he's running for president.,
Special-T-419 On Urban Dictionary,3 days ago,Skip the superhero villan,
Vectra86,5 days ago,😴,
S S,46 minutes ago,"boxing i love skip
basketball? not so much",
Zetsubou,4 days ago,Shanon is a sus,
Yaz,3 days ago,Manny for President,
Jack Sparrow,3 days ago,Strategy for election hahaha after election back to boxing until paralize,
ImtheONE Hero,2 days ago,Black guy should stick to basketball or football... lol. And everyone's claim to fam is thru Mayweather? What? Pacquiao has been popular way before fighting Mayweather. Lol. And people are only talking about Mayweather because Pacquiao was still fighting lmao!,1
miss exotic,3 days ago,Top 1,
Vaquero Líquido,5 days ago,"These guys don't know boxing, LOL. Marquez- Paquiao should've been 2-2. Maybe 2-1-1 in favor of Manny. Marquez was his greatest rival all time.",
Evil Disaster,1 hour ago,Top 1,
ANGELA LOCSIN,4 days ago,"You need to know Many Filipinos are don't care. That guy is not really good man and politicians here in the Philippines.

He is not good Senator. Many Filipino know. That guy is not good.",
Robel Necesito,2 days ago,Interest in Politics stop Many Pacquio not Ugas...,
Chrismark Acap,15 hours ago (edited),Lets accept the fact that Manny is better than Floyd come on man,
Dyce,1 day ago,biggest clown of philippine politics.,
Mark anthony Arro,5 days ago,Top 1,
Ferocious,4 days ago,"Pacman is no doubt the GOAT but running for President? Nope, I won't vote for him.",
No L,1 week ago,my top 1,
tj decena,4 days ago,MANNY IS THE MOST POWERUL BOXER EVER...- BUT IN POLITICS HE IS THE MOST STUPIDIEST EVER...-,
Nr123 Nr123,1 week ago,MANNY PACMAN PACQUIAO PHILIPPINES GOAT! may can only dream if reaching such accomplishment! MANNY PACMAN LIKE TO OTHER!,
leomar juan,3 days ago,"....to focus on politics,i dont think he will win presidency here.",
SANDRA RIVER,3 days ago,JULIO CESAR CHAVEZ #1,
Gihan Ratnayake,1 week ago,no trash just go smile box go home with full of money,
Lloyd Allan Bordon,4 days ago,who is duwarte 😅,
Efren Arnold,4 days ago,Shannon I’m not bias because I’m Filipino . But man 50-0 is been broken just like that . Google it man .. recently ! There’s fighters out there now walking around with 52-0 record 54-0 record . But 8 division champion?! No way that would ever be broken ! Not useless if you involve mafias . Or wait I forgot to mention the 5 lineal champion .,
sigfried caban,5 days ago,A steroid user,1
Joey Jacinto,4 days ago,He is not the best but he is one of the best and he is different that any boxing fighter because no one and there will be no one will be consider as an eight division champion ever..and thats make him different.salute to Manny and for me he's the greatest fighter ever and a true legend..of the sport..Godbless Manny,
Dave Casbadillo,4 days ago,manny pacquio 4president yes yes yes,
Kurt Leanard Marron,4 days ago,"Pacquiao is the only boxer in history to win twelve major world titles in eight different weight divisions. He is also the first boxer in history to win the lineal championship in five different weight divisions, as well as being the first boxer in history to win major world titles in four of the original eight weight divisions of boxing, became the oldest welterweight world champion in history at the age of 40, and the first boxer to become a recognized four-time welterweight champion also holds the record of being the only boxer to hold world titles in four different decades, in the 1990s, 2000s, 2010s, and 2020s. The Boxing Writers' Association of America (BWAA), WBC, HBO and WBO named him Fighter of the Decade for the 2000s. He has been awarded the Best Fighter ESPY Award in 2009 and 2011 and the winner of the 2019 World Boxing News (WBN) Award, as well as three times Ring magazine and BWAA fighter of the year. He also won both awards in 2006, 2008 and 2009.",
Richie Carr,1 week ago,"I-enjoyed the years!. Manny will ALWAYS ""B"" a-fighter That fight 50-80 The Ring is in you.",
To LIVE is to LEARN and to LOVE,5 days ago,🐐,
piggydish,3 days ago,Pacquiao should turn to MMA... not the Presidency...,
Rupesh Sapkota,1 week ago,Even in prime i believe floyd couldnt be defeated by manny but manny is more of a fighter than floyd 🙏,
Last Uchiha,4 days ago,Hearing these guys talking boxing is so bad.,
Melted nostrils Born without nostrils,9 hours ago,"Horse face is saying Mayweather couldn't lose, as if his opinion isn't predjudice because he's Black lol.",
Ruben Morales,6 days ago,Clowns,
Richard Ricablanca Jr.,1 week ago (edited),Just talk about manny. We don't care about floyd.,1
Jesus Salazar,1 day ago,"I dont think he's done in the ring just yet. Knowing that he will become President from his native land, he will return one last time for charity event fights",
Mr Bingo,5 days ago,So many lies,
Janet Villaruel,2 days ago,Filipinos doesnt him to run as president,
Tom Carolino,3 days ago,So what???,
Dan Ambon,2 days ago,Shannon is kinda trash in this video.,
Marvin geng,12 hours ago,Bias. I think If manny paqiao is american all of you say hes greatest of all time,
Emerson De Ungria,1 week ago,dapat lang matanda ka na,
Jesus fanatics,4 days ago,Boxing Yes!!! President No!!! please live here in the Philippines to see why majority of Filipinos do not want him to become a president of Philippines. Boxing and politics is a different thing you have to know it.,
Ed Rock,1 week ago,Pacquiao is not a 8 division world champion!!!! He is a 6 division world champion which is great! Ring Magazine belts are not sanctioned belts!,
Matt Lester Matel,4 days ago,Oscar Larios? Lol,
elie stark,1 day ago,"great boxer, not great for president LOL",
Monique WAy,2 days ago,Good bye and good riddons,
Asavagehand Productions,1 week ago,Funny,
Kris Portera,4 days ago,skip is sad,
Daniel Ugdoracion,3 days ago,duWARte lmao,
Richard Mely,3 days ago,Lmaoo,
fix yooo yoo,5 days ago,😞😞☹️😞😞,
Evil Disaster,1 hour ago,We are not blind! The world is not blind!,
Jumar Ongcay Algodon,4 days ago,"Believe me, that is not true. Once he loses his presidential candidacy run, he will return to the boxing world to get beaten and earn money.",
Tyke Abad,3 days ago,DUARTE? hahaha,
Jim Madelo,4 days ago,Not even us filipinos want him to be our next president. sad but true,
EJMLNS,6 days ago,boxing is not the same anymore.,
icejan Aquino,2 days ago,This man is comedy.. his head shaked and decided to run for president.,
Bo7tkiller,3 days ago,Who are these two women; geeze.,
ALDOUS king,4 days ago,Manny is better than floyd,1
Ino eusebio,5 days ago,Mayweather boring to watch,
jan andrew denila,3 days ago,Its a big no.  Here in phil.  Yes many is a sports hero here in phil but its a big no.  Or its very different sports from politics.... Filipino people still support duterte and marcos.... Pacquiao shame.... :),
Janet Villaruel,2 days ago,He is a good fighter but not for president he cant even speak tagalog straight even his english,1
bMd collection,5 days ago,Manny Pacquiao will not win as a President and will be back his boxing Career next year...don't worry,1
Dog Drivers Love for Dogs,1 week ago,"If Pacquiao is an American. American people will agree that Pacquiao is the GOAT. Eventually, He is not.",
Venz Chavei Gacita,1 day ago,Gayweather is good but Pacman is better. Were you amazed with Gayweather's record 50+ wins undefeated? Other boxers did it. Anyone who has 8 division titles other than Manny? NO. So there's the difference between good and great. Pac all day 👊,
Goryo Banua,3 days ago,hes not winning president btw,
Romil Narciso,6 days ago,So technically Floyd is the only one who RUINs the boxing then everyone wants to follow! The old school boxing where pure action and entertainment is gone all because of Floyd! Plain and simple! Ducking anyone who is a threat to his “0”,
Lean Karl,2 days ago,"US : Praising Pacman appreciating his greatness
Philippines : No appreciation, they only think about his Presidential run 

WHAT A SHAME FELLOW FILIPINO 🤦🏻‍♂️",1
marveen onal,4 days ago,"ung font color and style, Parang PARES RETIRO",
Toti Zabayle,1 week ago,Ab true legend just retired. We will miss you.,2
bouqemarceloable,1 week ago (edited),"PACQUIAO OFFENSIVE GOAT
MAYWEATHER DEFENSIVE GOAT",1
H I R O,1 week ago,LEGEND FOREVER 🙏🙏🙌🥊,
M onit,1 week ago,The sound effects lol,2
LastGeneration Linken,1 week ago,You need skills in any life choices,
Mad Scientist,1 week ago,lmao pacquiao touch floyd when he was injured and floyd feel it lmao,1
Jhona Ly,1 week ago,he will always be our greatest boxer in the philippines but i dont know if he will win as a president !!,
toby the great,1 week ago,"Pacquaio is a legendary boxer but if we talk about politics, thats a different story.",
Erlando Castillo,1 week ago,Pacman is the Beast in his Era,
Conrad Pascua,1 week ago,Boxing his legacy. Politics his tragedy. But thank you Pacman for putting the PH in the world map!,
Joeceril Dinaga,1 week ago,"G.O.A.T.
it's because he is a real fighter in nature.
He fought everybody without excuses.
Yes! he experienced loss ang being knock down, but it's normal of being a real fighter.",2
JosephRheaEli,1 week ago,Ilove the margarito fight vs pacman.,
Chloe's Vlogs,1 week ago (edited),"With all due respect to Shannon, I just don't think Manny Pacquiao couldn't touch Floyd Mayweather if they where both in their primes. We just couldn't know unless we can turn back time and make that happen. This will just go down to be the biggest ""what if"" in boxing history to date. We can speculate all we want but we just wouldn't know the outcome. The debate between them is never going to end. Happy retirement Pacman!",
Eugene Rivera,1 week ago (edited),the discussion went from I love manny pacquiao to proving the point that floymayweather is the best blah blah hahaha 😂,
Florante Dumanon,1 week ago,Manny paquiao  # 2 greatest boxer.gdblz  Manny.,1
sole seeker,1 week ago,I thought this was about Pacquiao 😂,1
CHURCHILL RANOCO,1 week ago,Paquiao is great...everyone missed him..every one talked about him.. no one can break his record..donot choose opponent.. while floyd no one missed him while he is retired. 49-0 is legit but 50-0 is faked... Aha,
坂田ヨハン,1 week ago (edited),"and he skip 1 & 2 it could've been 10 division if he didn't skip those 2 hahahahahahhaaaa.... thats MF impossible for any human being to do..

i cant even imagine how tf can he manage to do that.. if thats me i could've ended into the hospital for sure, thats a suicidal mission, he breaks his limiter and pushes to the new limit and breaks it again and again.. hahahahaaa..",
ReMar,1 week ago,Goat🥺,
RANDOM GUY WITH MEMES.,1 week ago,POLITICS  IN THE PHILIPPINES IS EASY TO GET😂,
john de juan,1 week ago,Manny Pacquiao is the first and only fighter in the history of boxing who is credited with lineal championships in five different weight classes  became lineal champ at age of 19,1
Aberatio Ictus,1 week ago (edited),1:01 the cause of your hate is mayweather because his afraid,
ciel skye,1 week ago (edited),"Yes Shannon your right, paquiao can't really touch Floyd, because Floyd feel in love with manny, he hugged manny more than his girlfriend. Their are round they almost kissed. 😘😘",2
K4gaw,1 week ago,Manny left boxing now I have a reason not to watch boxing.,
Beyond East,1 week ago,Floyd knew Manny will beat his chicken @$$ if they were to fight after or before the cotto fight 100% n all in on the PACMAN !!!!,1
tom 7,1 week ago (edited),"Muhammad Ali Right beside Paquiao.

Bottomline: No Body in this planet can Do what manny Does PERIOD.",1
Jerry Marti,1 week ago,Pac the best of all time period.  He never ducked anyone.  No one can say that but him.  He always wanted to put on a good show for the fans and he always did.  He would risk everything in the ring.  Never be another like him.  Those fighters that fight for money can't compare to him.  He fought for the people.  He fought for the fans.,
Ay'Ron MAN,1 week ago,GOAT,
GB ELIJAH 📺TV,1 week ago,GOAT,
Bryan Angeles,1 week ago,Did sharpe said Duarte? Hahaha,1
Stat Buendia,1 week ago,PACQUIAO ALL TIME GREAT! THE BEST OF ALL BOXER.. MAYWEATHER IS JUST TOP 6 ONLY,2
Lanzgalang,1 week ago (edited),"It's so sad is retire for politics
For senator of pH and tribute a
Man he a legend boxer I'm so f***ing
Sad and he's my ever lasting legend from 🇵🇭",
